name,height,weight,base_experience,height_m,weight_kg,bmi
bulbasaur,7,69,64,0.7,6.9,14.08
ivysaur,10,130,142,1.0,13.0,13.0
venusaur,20,1000,236,2.0,100.0,25.0
charmander,6,85,62,0.6,8.5,23.61
charmeleon,11,190,142,1.1,19.0,15.7
charizard,17,905,240,1.7,90.5,31.31
squirtle,5,90,63,0.5,9.0,36.0
wartortle,10,225,142,1.0,22.5,22.5
blastoise,16,855,239,1.6,85.5,33.4
caterpie,3,29,39,0.3,2.9,32.22
metapod,7,99,72,0.7,9.9,20.2
butterfree,11,320,178,1.1,32.0,26.45
weedle,3,32,39,0.3,3.2,35.56
kakuna,6,100,72,0.6,10.0,27.78
beedrill,10,295,178,1.0,29.5,29.5
pidgey,3,18,50,0.3,1.8,20.0
pidgeotto,11,300,122,1.1,30.0,24.79
pidgeot,15,395,216,1.5,39.5,17.56
rattata,3,35,51,0.3,3.5,38.89
raticate,7,185,145,0.7,18.5,37.76
spearow,3,20,52,0.3,2.0,22.22
fearow,12,380,155,1.2,38.0,26.39
ekans,20,69,58,2.0,6.9,1.72
arbok,35,650,157,3.5,65.0,5.31
pikachu,4,60,112,0.4,6.0,37.5
raichu,8,300,218,0.8,30.0,46.87
sandshrew,6,120,60,0.6,12.0,33.33
sandslash,10,295,158,1.0,29.5,29.5
nidoran-f,4,70,55,0.4,7.0,43.75
nidorina,8,200,128,0.8,20.0,31.25
