Nombre,Símbolo,Precio,Market Cap,Volumen 24h
CoinMarketCap 20 Index DTF,CMC20,$154.31,$8.17M,"$3,524,186"
Bitcoin,BTC,"$74,733.54",$1.5T,"$63,207,285,300"
Ethereum,ETH,"$2,192.69",$265.52B,"$39,443,018,232"
Tether,USDT,$0.9989,$185.15B,"$126,523,651,705"
BNB,BNB,$756.42,$103.19B,"$2,443,372,246"
XRP,XRP,$1.58,$96.22B,"$3,648,844,592"
USDC,USDC,$1.00,$70.78B,"$17,967,378,764"
Solana,SOL,$99.22,$56.2B,"$4,976,976,475"
TRON,TRX,$0.2836,$26.86B,"$678,697,835"
Dogecoin,DOGE,$0.1064,$17.94B,"$1,696,677,351"
Cardano,ADA,$0.2945,$10.62B,"$675,072,768"
Bitcoin Cash,BCH,$524.34,$10.48B,"$547,724,334"
Hyperliquid,HYPE,$34.14,$10.31B,"$1,155,462,652"
UNUS SED LEO,LEO,$8.68,$8B,"$4,796,140"
Monero,XMR,$381.63,$7.04B,"$120,858,576"
ether.fi,ETHFI,$0.5053,$353.41M,"$44,657,494"
Maple Finance,SYRUP,$0.3052,$353.22M,"$19,607,467"
Sun [New],SUN,$0.01819,$349.53M,"$25,263,674"
Lido DAO,LDO,$0.4106,$348.24M,"$40,104,903"
AINFT,NFT,$0.063494,$345.95M,"$19,424,181"
BitTorrent [New],BTT,$0.063462,$341.75M,"$17,246,608"
Decred,DCR,$19.34,$333.9M,"$4,687,977"
FLOKI,FLOKI,$0.00003491,$333.03M,"$57,717,448"
Celestia,TIA,$0.3703,$324.13M,"$33,733,757"
The Graph,GRT,$0.02970,$317.95M,"$22,021,598"
IOTA,IOTA,$0.07362,$314.05M,"$17,193,622"
JasmyCoin,JASMY,$0.006035,$298.41M,"$21,876,708"
Bitcoin SV,BSV,$14.90,$297.79M,"$20,917,358"
Starknet,STRK,$0.05626,$297.3M,"$56,494,276"
Gnosis,GNO,$110.64,$292.01M,"$4,894,540"
Rain,RAIN,$0.009097,$3.09B,"$40,455,238"
Falcon USD,USDf,$0.9939,$1.92B,"$7,435,519"
Jupiter Perps LP,JLP,$3.98,$1.49B,"$41,297,529"
Ondo US Dollar Yield,USDY,$1.11,$704.36M,"$1,225,742"
Beldex,BDX,$0.08133,$618.6M,"$9,648,312"
Usual USD,USD0,$0.9970,$588.54M,"$637,773"
GHO,GHO,$0.9991,$516.5M,"$1,809,675"
USDai,USDAI,$0.9989,$500.85M,"$1,937,836"
Fasttoken,FTN,$1.08,$474.33M,"$12,220,546"
c8ntinuum,CTM,$0.09780,$426.39M,"$1,118,921"
Legacy Frax Dollar,FRAX,$0.9932,$274.28M,"$5,247,996"
Undeads Games,UDS,$2.17,$216.16M,"$518,296"
Ultima,ULTIMA,"$5,761.12",$215.52M,"$16,223,452"
Ape and Pepe,APEPE,$0.051005,$211.08M,"$31,418,574"
SwissBorg,BORG,$0.2070,$203.34M,"$479,801"
U.S. Dollar Tokenized Currency (Ondo),USDon,$0.9992,$70.05M,"$22,583,229"
VVS Finance,VVS,$0.051607,$70M,"$635,329"
MultiBank Group,MBG,$0.3662,$69.94M,"$20,235,011"
Kava,KAVA,$0.06344,$68.7M,"$5,801,622"
Tesla tokenized stock (xStock),TSLAX,$416.65,$68.54M,"$40,764,933"
Waves,WAVES,$0.5709,$68.54M,"$28,067,935"
MindWaveDAO,NILA,$0.08132,$68.54M,"$387,727"
Paycoin,PCI,$0.06409,$68.14M,"$558,005"
Moca Network,MOCA,$0.01722,$68.08M,"$6,681,356"
aelf,ELF,$0.08278,$67.77M,"$2,033,982"
SushiSwap,SUSHI,$0.2362,$67.76M,"$13,878,916"
Berachain,BERA,$0.4525,$66.75M,"$23,921,156"
AI Rig Complex,ARC,$0.06661,$66.62M,"$20,606,818"
Alphabet Class A Tokenized Stock (Ondo),GOOGLon,$339.29,$66.47M,"$3,659,238"
InitVerse,INI,$0.1210,$66.15M,"$1,390,411"
Chia,XCH,$3.31,$47.78M,"$2,992,563"
Pundi X (New),PUNDIX,$0.1842,$47.62M,"$2,446,159"
GeorgePlaysClashRoyale,CLASH,$0.04757,$47.56M,"$2,253,227"
Pax Dollar,USDP,$0.9988,$47.51M,"$951,468"
BORA,BORA,$0.04260,$46.86M,"$5,083,697"
LCX,LCX,$0.04971,$47.21M,"$1,088,571"
Terra,LUNA,$0.06572,$46.66M,"$11,235,754"
Storj,STORJ,$0.1094,$46.29M,"$8,189,013"
Enjin Coin,ENJ,$0.02387,$46.08M,"$7,065,875"
OWB,OWB,$0.09982,$45.44M,"$2,394,266"
SKALE,SKL,$0.007425,$45.25M,"$14,226,794"
Band,BAND,$0.2600,$44.61M,"$4,575,720"
EGL1,EGL1,$0.04438,$44.39M,"$4,151,391"
Notcoin,NOT,$0.0004480,$44.54M,"$9,140,032"
